epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19759.2,1.14524,0.59436,0.00578,0.79422,0.70748,0.76095,0.50159,1.19866,0.59602,0.00688,0.000803876,0.000803876,0.000803876
43,20435.8,1.13848,0.57935,0.0058,0.81774,0.6956,0.75791,0.50019,1.20385,0.64267,0.00683,0.000785127,0.000785127,0.000785127
44,20907.3,1.11626,0.57193,0.00542,0.7447,0.71259,0.75472,0.50957,1.16961,0.60705,0.00664,0.000766226,0.000766226,0.000766226
45,21591.4,1.10135,0.53434,0.00501,0.75406,0.73077,0.75999,0.51661,1.14747,0.58559,0.00647,0.000747192,0.000747192,0.000747192
46,22221.8,1.1101,0.55948,0.0053,0.77799,0.71195,0.76779,0.5044,1.18858,0.60264,0.00673,0.000728044,0.000728044,0.000728044
47,22796.5,1.11288,0.56098,0.0051,0.81211,0.7109,0.77309,0.51597,1.18286,0.61739,0.00675,0.0007088,0.0007088,0.0007088
48,23436.4,1.08028,0.51902,0.00531,0.8293,0.68285,0.76647,0.51674,1.15098,0.57403,0.00653,0.00068948,0.00068948,0.00068948
49,23937.6,1.07776,0.53892,0.005,0.83116,0.71205,0.77933,0.5201,1.16982,0.59349,0.00667,0.000670102,0.000670102,0.000670102
50,24444.4,1.06406,0.53413,0.00504,0.83551,0.73244,0.77798,0.52038,1.186,0.60588,0.00673,0.000650685,0.000650685,0.000650685
51,24919.3,1.06189,0.54396,0.00502,0.82567,0.68288,0.7832,0.52206,1.19511,0.58593,0.00682,0.00063125,0.00063125,0.00063125
52,25381.4,1.05337,0.52304,0.00485,0.77572,0.71896,0.77253,0.51939,1.17516,0.60693,0.00665,0.000611815,0.000611815,0.000611815
53,25842.1,1.06089,0.52794,0.00508,0.76908,0.74336,0.77602,0.52522,1.14451,0.60621,0.00638,0.000592398,0.000592398,0.000592398
54,26295.6,1.03907,0.50976,0.00491,0.88309,0.68156,0.78859,0.52867,1.16486,0.60337,0.00656,0.00057302,0.00057302,0.00057302
55,26748,0.98703,0.47973,0.00474,0.82739,0.70652,0.78435,0.52243,1.17435,0.58516,0.00671,0.0005537,0.0005537,0.0005537
56,27205.4,1.00785,0.49367,0.00492,0.87316,0.70055,0.79014,0.53367,1.16174,0.57961,0.00644,0.000534456,0.000534456,0.000534456
57,27665,1.06742,0.5094,0.00463,0.86447,0.70749,0.77545,0.52238,1.14778,0.57397,0.00637,0.000515308,0.000515308,0.000515308
58,28124.3,1.04717,0.50464,0.00455,0.90494,0.68918,0.79549,0.53119,1.14979,0.59077,0.00649,0.000496274,0.000496274,0.000496274
59,28574.6,1.00065,0.48516,0.00482,0.87596,0.66869,0.78118,0.52183,1.14668,0.61715,0.00649,0.000477373,0.000477373,0.000477373
60,29026,1.03536,0.49233,0.00461,0.83632,0.70794,0.78176,0.52077,1.17535,0.58545,0.00667,0.000458624,0.000458624,0.000458624
61,29476.2,1.00393,0.47107,0.00469,0.87136,0.68753,0.78941,0.52425,1.17295,0.57103,0.00656,0.000440046,0.000440046,0.000440046
